0:0:0:0:0:0:0:1 - - [30/Jan/2026:21:50:33 +0300] "GET /Server/DataService HTTP/1.1" 500 32
127.0.0.1 - - [30/Jan/2026:21:51:58 +0300] "POST /DataService HTTP/1.1" 404 708
127.0.0.1 - - [30/Jan/2026:21:59:43 +0300] "POST /DataService HTTP/1.1" 200 15
127.0.0.1 - - [30/Jan/2026:21:59:43 +0300] "POST /DataService HTTP/1.1" 200 15
127.0.0.1 - - [30/Jan/2026:21:59:43 +0300] "POST /DataService HTTP/1.1" 200 15
127.0.0.1 - - [30/Jan/2026:22:27:37 +0300] "POST /DataService HTTP/1.1" 200 15
127.0.0.1 - - [30/Jan/2026:22:27:37 +0300] "POST /DataService HTTP/1.1" 200 15
127.0.0.1 - - [30/Jan/2026:22:28:25 +0300] "POST /DataService HTTP/1.1" 200 15
127.0.0.1 - - [30/Jan/2026:22:28:31 +0300] "POST /DataService HTTP/1.1" 200 15
127.0.0.1 - - [30/Jan/2026:22:28:33 +0300] "POST /DataService HTTP/1.1" 200 15
127.0.0.1 - - [30/Jan/2026:22:29:44 +0300] "POST /DataService HTTP/1.1" 200 15
127.0.0.1 - - [30/Jan/2026:22:29:47 +0300] "POST /DataService HTTP/1.1" 200 15
127.0.0.1 - - [30/Jan/2026:22:29:52 +0300] "POST /DataService HTTP/1.1" 200 15
127.0.0.1 - - [30/Jan/2026:22:29:52 +0300] "POST /DataService HTTP/1.1" 200 15
127.0.0.1 - - [30/Jan/2026:22:30:00 +0300] "POST /DataService HTTP/1.1" 200 15
127.0.0.1 - - [30/Jan/2026:22:30:40 +0300] "POST /DataService HTTP/1.1" 200 15
127.0.0.1 - - [30/Jan/2026:22:30:40 +0300] "POST /DataService HTTP/1.1" 200 15
127.0.0.1 - - [30/Jan/2026:22:32:21 +0300] "POST /DataService HTTP/1.1" 200 15
127.0.0.1 - - [30/Jan/2026:22:32:21 +0300] "POST /DataService HTTP/1.1" 200 15
127.0.0.1 - - [30/Jan/2026:22:32:37 +0300] "POST /DataService HTTP/1.1" 200 15
127.0.0.1 - - [30/Jan/2026:22:35:44 +0300] "POST /DataService HTTP/1.1" 200 15
127.0.0.1 - - [30/Jan/2026:22:35:44 +0300] "POST /DataService HTTP/1.1" 200 15
127.0.0.1 - - [30/Jan/2026:22:36:03 +0300] "POST /DataService HTTP/1.1" 200 15
127.0.0.1 - - [30/Jan/2026:22:36:05 +0300] "POST /DataService HTTP/1.1" 200 110
127.0.0.1 - - [30/Jan/2026:22:41:56 +0300] "POST /DataService HTTP/1.1" 200 15
127.0.0.1 - - [30/Jan/2026:22:41:56 +0300] "POST /DataService HTTP/1.1" 200 110
127.0.0.1 - - [30/Jan/2026:22:42:30 +0300] "POST /DataService HTTP/1.1" 200 15
127.0.0.1 - - [30/Jan/2026:22:42:31 +0300] "POST /DataService HTTP/1.1" 200 142
127.0.0.1 - - [30/Jan/2026:22:42:36 +0300] "POST /DataService HTTP/1.1" 200 15
127.0.0.1 - - [30/Jan/2026:22:42:37 +0300] "POST /DataService HTTP/1.1" 200 142
127.0.0.1 - - [30/Jan/2026:22:42:40 +0300] "POST /DataService HTTP/1.1" 200 15
127.0.0.1 - - [30/Jan/2026:22:42:41 +0300] "POST /DataService HTTP/1.1" 200 142
127.0.0.1 - - [30/Jan/2026:22:42:50 +0300] "POST /DataService HTTP/1.1" 200 15
127.0.0.1 - - [30/Jan/2026:22:42:51 +0300] "POST /DataService HTTP/1.1" 200 138
127.0.0.1 - - [30/Jan/2026:22:43:01 +0300] "POST /DataService HTTP/1.1" 200 111
127.0.0.1 - - [30/Jan/2026:22:43:01 +0300] "POST /DataService HTTP/1.1" 200 15
127.0.0.1 - - [30/Jan/2026:22:43:04 +0300] "POST /DataService HTTP/1.1" 200 138
127.0.0.1 - - [30/Jan/2026:22:43:08 +0300] "POST /DataService HTTP/1.1" 200 138
127.0.0.1 - - [30/Jan/2026:22:43:09 +0300] "POST /DataService HTTP/1.1" 200 138
127.0.0.1 - - [30/Jan/2026:22:43:14 +0300] "POST /DataService HTTP/1.1" 200 15
127.0.0.1 - - [30/Jan/2026:22:43:14 +0300] "POST /DataService HTTP/1.1" 200 111
127.0.0.1 - - [30/Jan/2026:22:47:26 +0300] "POST /DataService HTTP/1.1" 200 15
127.0.0.1 - - [30/Jan/2026:22:47:26 +0300] "POST /DataService HTTP/1.1" 200 111
